well,region_property,region_property_value,relperm_region,saturation_model,mapping_source,mapping_confidence,completed_cells_used
HW-10,SATNUM,4,RRT_04,Model_04,WELL_CONNECTIONS.ixf + SATNUM.GRDECL + SIMULATION.PRT RockRegionMapping,0.2895,62
HW-24,SATNUM,4,RRT_04,Model_04,WELL_CONNECTIONS.ixf + SATNUM.GRDECL + SIMULATION.PRT RockRegionMapping,0.5181,62
HW-25,SATNUM,2,RRT_02,Model_02,WELL_CONNECTIONS.ixf + SATNUM.GRDECL + SIMULATION.PRT RockRegionMapping,0.5118,62
HW-26,SATNUM,2,RRT_02,Model_02,WELL_CONNECTIONS.ixf + SATNUM.GRDECL + SIMULATION.PRT RockRegionMapping,0.5557,62
HW-28,SATNUM,4,RRT_04,Model_04,WELL_CONNECTIONS.ixf + SATNUM.GRDECL + SIMULATION.PRT RockRegionMapping,0.328,62
HW-29,SATNUM,7,RRT_07,Model_07,WELL_CONNECTIONS.ixf + SATNUM.GRDECL + SIMULATION.PRT RockRegionMapping,0.3323,62
HW-3,SATNUM,7,RRT_07,Model_07,WELL_CONNECTIONS.ixf + SATNUM.GRDECL + SIMULATION.PRT RockRegionMapping,0.3609,62
HW-30,SATNUM,4,RRT_04,Model_04,WELL_CONNECTIONS.ixf + SATNUM.GRDECL + SIMULATION.PRT RockRegionMapping,0.3431,62
HW-31,SATNUM,7,RRT_07,Model_07,WELL_CONNECTIONS.ixf + SATNUM.GRDECL + SIMULATION.PRT RockRegionMapping,0.3548,62
HW-32,SATNUM,4,RRT_04,Model_04,WELL_CONNECTIONS.ixf + SATNUM.GRDECL + SIMULATION.PRT RockRegionMapping,0.4954,62
HW-5,SATNUM,2,RRT_02,Model_02,WELL_CONNECTIONS.ixf + SATNUM.GRDECL + SIMULATION.PRT RockRegionMapping,0.381,62
HW-6,SATNUM,6,RRT_06,Model_06,WELL_CONNECTIONS.ixf + SATNUM.GRDECL + SIMULATION.PRT RockRegionMapping,0.3347,62
HW-7,SATNUM,7,RRT_07,Model_07,WELL_CONNECTIONS.ixf + SATNUM.GRDECL + SIMULATION.PRT RockRegionMapping,0.3362,62
HW-8,SATNUM,4,RRT_04,Model_04,WELL_CONNECTIONS.ixf + SATNUM.GRDECL + SIMULATION.PRT RockRegionMapping,0.5126,62
HW-9,SATNUM,7,RRT_07,Model_07,WELL_CONNECTIONS.ixf + SATNUM.GRDECL + SIMULATION.PRT RockRegionMapping,0.4637,62
