well,well_role,has_producer_evidence,has_injector_evidence,active_producer,inactive_producer_zero_oil_history,producer_activity_status,active_injector,inactive_injector_zero_injection_history,injector_activity_status,exclude_from_hm,exclusion_reason,max_observed_oil_rate,max_simulated_oil_rate,max_observed_water_inj_rate,max_observed_gas_inj_rate,max_observed_injection_rate,max_simulated_water_inj_rate,max_simulated_gas_inj_rate,max_simulated_injection_rate,woprh_key,wopr_key,wwirh_key,wgirh_key,wwir_key,wgir_key,active_oil_rate_threshold,active_injection_rate_threshold
HW-10,producer_injector,True,True,True,False,active_producer_observed_oil,False,True,inactive_injector_zero_injection_history,False,,2622.960693359375,2622.960693359375,0.0,0.0,0.0,0.0,0.0,0.0,WOPRH:HW-10,WOPR:HW-10,WWIRH:HW-10,WGIRH:HW-10,WWIR:HW-10,WGIR:HW-10,5.0,5.0
HW-24,producer_injector,True,True,True,False,active_producer_observed_oil,False,True,inactive_injector_zero_injection_history,False,,3112.100341796875,3112.100341796875,0.0,0.0,0.0,0.0,0.0,0.0,WOPRH:HW-24,WOPR:HW-24,WWIRH:HW-24,WGIRH:HW-24,WWIR:HW-24,WGIR:HW-24,5.0,5.0
HW-25,producer_injector,True,True,True,False,active_producer_observed_oil,False,True,inactive_injector_zero_injection_history,False,,2621.449462890625,2621.449462890625,0.0,0.0,0.0,0.0,0.0,0.0,WOPRH:HW-25,WOPR:HW-25,WWIRH:HW-25,WGIRH:HW-25,WWIR:HW-25,WGIR:HW-25,5.0,5.0
HW-26,producer_injector,True,True,True,False,active_producer_observed_oil,False,True,inactive_injector_zero_injection_history,False,,79.30402374267578,60.935550689697266,0.0,0.0,0.0,0.0,0.0,0.0,WOPRH:HW-26,WOPR:HW-26,WWIRH:HW-26,WGIRH:HW-26,WWIR:HW-26,WGIR:HW-26,5.0,5.0
HW-28,producer_injector,True,True,True,False,active_producer_observed_oil,False,True,inactive_injector_zero_injection_history,False,,2427.483642578125,2427.483642578125,0.0,0.0,0.0,0.0,0.0,0.0,WOPRH:HW-28,WOPR:HW-28,WWIRH:HW-28,WGIRH:HW-28,WWIR:HW-28,WGIR:HW-28,5.0,5.0
HW-29,producer_injector,True,True,True,False,active_producer_observed_oil,False,True,inactive_injector_zero_injection_history,False,,5379.6416015625,5379.6416015625,0.0,0.0,0.0,0.0,0.0,0.0,WOPRH:HW-29,WOPR:HW-29,WWIRH:HW-29,WGIRH:HW-29,WWIR:HW-29,WGIR:HW-29,5.0,5.0
HW-3,producer_injector,True,True,True,False,active_producer_observed_oil,False,True,inactive_injector_zero_injection_history,False,,5295.5107421875,5295.5107421875,0.0,0.0,0.0,0.0,0.0,0.0,WOPRH:HW-3,WOPR:HW-3,WWIRH:HW-3,WGIRH:HW-3,WWIR:HW-3,WGIR:HW-3,5.0,5.0
HW-30,producer_injector,True,True,True,False,active_producer_observed_oil,False,True,inactive_injector_zero_injection_history,False,,5214.4677734375,5214.4677734375,0.0,0.0,0.0,0.0,0.0,0.0,WOPRH:HW-30,WOPR:HW-30,WWIRH:HW-30,WGIRH:HW-30,WWIR:HW-30,WGIR:HW-30,5.0,5.0
HW-31,producer_injector,True,True,False,True,inactive_producer_zero_oil_history,False,True,inactive_injector_zero_injection_history,True,inactive_converted_well_no_observed_oil_or_injection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WOPRH:HW-31,WOPR:HW-31,WWIRH:HW-31,WGIRH:HW-31,WWIR:HW-31,WGIR:HW-31,5.0,5.0
HW-32,producer_injector,True,True,True,False,active_producer_observed_oil,False,True,inactive_injector_zero_injection_history,False,,5235.1435546875,5235.1435546875,0.0,0.0,0.0,0.0,0.0,0.0,WOPRH:HW-32,WOPR:HW-32,WWIRH:HW-32,WGIRH:HW-32,WWIR:HW-32,WGIR:HW-32,5.0,5.0
HW-5,producer_injector,True,True,False,True,inactive_producer_zero_oil_history,False,True,inactive_injector_zero_injection_history,True,inactive_converted_well_no_observed_oil_or_injection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WOPRH:HW-5,WOPR:HW-5,WWIRH:HW-5,WGIRH:HW-5,WWIR:HW-5,WGIR:HW-5,5.0,5.0
HW-6,producer_injector,True,True,True,False,active_producer_observed_oil,False,True,inactive_injector_zero_injection_history,False,,5194.50634765625,5194.50634765625,0.0,0.0,0.0,0.0,0.0,0.0,WOPRH:HW-6,WOPR:HW-6,WWIRH:HW-6,WGIRH:HW-6,WWIR:HW-6,WGIR:HW-6,5.0,5.0
HW-7,producer_injector,True,True,False,True,inactive_producer_zero_oil_history,False,True,inactive_injector_zero_injection_history,True,inactive_converted_well_no_observed_oil_or_injection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WOPRH:HW-7,WOPR:HW-7,WWIRH:HW-7,WGIRH:HW-7,WWIR:HW-7,WGIR:HW-7,5.0,5.0
HW-8,producer_injector,True,True,False,True,inactive_producer_zero_oil_history,False,True,inactive_injector_zero_injection_history,True,inactive_converted_well_no_observed_oil_or_injection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WOPRH:HW-8,WOPR:HW-8,WWIRH:HW-8,WGIRH:HW-8,WWIR:HW-8,WGIR:HW-8,5.0,5.0
HW-9,producer_injector,True,True,True,False,active_producer_observed_oil,False,True,inactive_injector_zero_injection_history,False,,853.5001220703125,853.5001220703125,0.0,0.0,0.0,0.0,0.0,0.0,WOPRH:HW-9,WOPR:HW-9,WWIRH:HW-9,WGIRH:HW-9,WWIR:HW-9,WGIR:HW-9,5.0,5.0
